Timestamp,Gender,Ethnicity,Academic Year,Major,GPA,UCR BC,Housing BC,Housing no $,Housing AC,Learning
1/28/2021 10:53:46,Female,White,Sophomore,CS,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/30/2021 12:38:43,Male,Asian,Sophomore,Computer Science with Business Applications,3.3 - 3.69,Yes,UCR Dorms,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
1/30/2021 12:41:25,Male,Asian,Sophomore,CSBA,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/30/2021 12:46:31,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/30/2021 12:51:38,Female,Asian,Sophomore,Computer Science,3.3 - 3.69,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/30/2021 13:11:26,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,Off - Campus Apartment,Combined (Online + on-campus)
1/30/2021 13:19:56,Female,White,Freshman,Neuroscience ,3.3 - 3.69,No,I wasn’t in UCR to begin with.,On-campus,UCR Dorms,In-person (on-campus lecture)
1/30/2021 13:25:44,Male,Asian,Sophomore,CSBA,3.0 - 3.29,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/30/2021 13:40:20,Female,Asian,Sophomore,Computer science ,3.7 - 4.0,Yes,UCR Dorms,Off-campus,On Campus Apartment,Combined (Online + on-campus)
1/30/2021 13:54:43,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,Combined (Online + on-campus)
1/30/2021 14:22:56,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/30/2021 14:29:09,Male,White,Senior/Senior+,Computer Engineering,3.7 - 4.0,No,Off-campus Apartments,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
1/30/2021 16:50:49,Male,Asian,Sophomore,CS,3.7 - 4.0,Yes,UCR Dorms,Off-campus,On Campus Apartment,Combined (Online + on-campus)
1/30/2021 18:42:30,Male,Asian,Sophomore,CS,3.7 - 4.0,Yes,UCR Dorms,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
1/30/2021 22:55:05,Male,Middle Eastern,Sophomore,Computer Science w/ Business Applications,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,Combined (Online + on-campus)
1/30/2021 23:37:40,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/31/2021 0:27:53,Male,Hispanic or Latino or Spanish Origin,Junior,Computer Eng.,3.0 - 3.29,Yes,with parents,Off-campus,with parents,Combined (Online + on-campus)
1/31/2021 2:34:28,Male,Asian,Sophomore,CSBA,3.7 - 4.0,Yes,"off-campus, Parents house",On-campus,"off-campus, Parents house",Combined (Online + on-campus)
1/31/2021 12:35:49,Male,Asian,Junior,Computer Science,3.7 - 4.0,Yes,I lived at home,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
1/31/2021 12:36:14,Prefer not to say,Asian,Sophomore,computer science,3.3 - 3.69,Yes,UCR Dorms,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
1/31/2021 14:01:28,Male,Hispanic or Latino or Spanish Origin,Junior,Computer engineering,3.3 - 3.69,Yes,UCR Dorms,On-campus,UCR Dorms,In-person (on-campus lecture)
1/31/2021 16:52:37,Male,Asian,Junior,Computer Science,3.3 - 3.69,No,Parents,Off-campus,Off - Campus Apartment,Remote-learning (Online instruction)
1/31/2021 22:00:06,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
1/31/2021 22:01:29,Male,Black or African American,Junior,Computer Science,2.7 - 2.99,No,Didn’t attend UCR,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/1/2021 8:58:55,Female,middle eastern ,Sophomore,CSBA,3.0 - 3.29,Yes,at home,Off-campus,at home,In-person (on-campus lecture)
2/1/2021 10:58:19,Male,Asian,Sophomore,Computer Science (ENCS),3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,Combined (Online + on-campus)
2/1/2021 11:28:50,Male,Asian,Sophomore,CS,3.7 - 4.0,Yes,UCR Dorms,Off-campus,On Campus Apartment,Remote-learning (Online instruction)
2/1/2021 11:39:32,Male,"Asian, White",Senior/Senior+,Physics,3.3 - 3.69,Yes,On-campus Apartments,On-campus,I will be graduated by the time COVID-19 restrictions have lifted,In-person (on-campus lecture)
2/1/2021 12:04:44,Male,Asian,Sophomore,Math ,3.3 - 3.69,Yes,UCR Dorms,On-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/1/2021 12:22:18,Male,Asian,Sophomore,Bioengineering,3.7 - 4.0,Yes,On-campus Apartments,On-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/1/2021 12:48:31,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/1/2021 14:23:26,Male,White,Junior,Electrical Engineering,3.0 - 3.29,Yes,Off-campus Apartments,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/1/2021 14:37:09,Male,Asian,Sophomore,Computer Eng,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/1/2021 14:57:28,Female,Asian,Sophomore,Computer Science w/ Business Applications,3.7 - 4.0,Yes,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/1/2021 15:40:03,Male,Hispanic or Latino or Spanish Origin,Senior/Senior+,Biology,3.3 - 3.69,Yes,Off-campus Apartments,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/1/2021 16:11:17,Female,Asian,Senior/Senior+,csba,3.3 - 3.69,Yes,Off-campus Apartments,On-campus,On Campus Apartment,Combined (Online + on-campus)
2/1/2021 16:12:03,Female,Asian,Sophomore,computer science with business applications,3.3 - 3.69,Yes,UCR Dorms,On-campus,Off - Campus Apartment,In-person (on-campus lecture)
